"adding quantity back to stock count (order shipped by marketplace)","adding quantity back to stock count (order shipped by marketplace)"
"order's status has been updated to %1","order's status has been updated to %1"
"order successfully imported (ORDER ID %1)","order successfully imported (ORDER ID %1)"
"save order lines product: %1","save order lines product: %1"
"WARNING ! Order lines could NOT be saved in Lengow order lines table","WARNING ! Order lines could NOT be saved in Lengow order lines table"
"rewrite amount without processing fee","rewrite amount without processing fee"
"rewrite amount without shipping cost","rewrite amount without shipping cost"
"order successfully synchronized with Lengow webservice (ORDER ID %1)","order successfully synchronized with Lengow webservice (ORDER ID %1)"
"WARNING! Order could NOT be synchronized with Lengow webservice (ORDER ID %1)","WARNING! Order could NOT be synchronized with Lengow webservice (ORDER ID %1)"
"order is anonymized and has not been imported","order is anonymized and has not been imported"
"order is older than 3 months and has not been imported","order is older than 3 months and has not been imported"
"unable to check if the order is too old","unable to check if the order is too old"
"check completed actions","check completed actions"
"check and finish old actions","check and finish old actions"
"check actions not sent","check actions not sent"
"try to send %1 action (ORDER ID %2)","try to send %1 action (ORDER ID %2)"
"action %1 successfully sent (ORDER ID %2)","action %1 successfully sent (ORDER ID %2)"
"WARNING! action %1 could not be sent (ORDER ID %2)","WARNING! action %1 could not be sent (ORDER ID %2)"
"call tracking with parameters: %1","call tracking with parameters: %1"
"order action failed - %1","order action failed - %1"
"get order actions between %1 and %2","get order actions between %1 and %2"
"CMS successfully created with Lengow webservice (CMS token %1)","CMS successfully created with Lengow webservice (CMS token %1)"
"WARNING! CMS could NOT be created with Lengow webservice (CMS token %1)","WARNING! CMS could NOT be created with Lengow webservice (CMS token %1)"
"CMS already created in Lengow (CMS token %1)","CMS already created in Lengow (CMS token %1)"
"try to associate catalogue IDs %1 to the shop (SHOP token %2) for the Magento store ID %3","try to associate catalogue IDs %1 to the shop (SHOP token %2) for the Magento store ID %3"
"catalogues successfully linked with Lengow webservice","catalogues successfully linked with Lengow webservice"
"WARNING! catalogues could NOT be linked with Lengow webservice","WARNING! catalogues could NOT be linked with Lengow webservice"
"report email sent to %1","report email sent to %1"
"unable to send report email to %1","unable to send report email to %1"
"call %1 %2","call %1 %2"
"API call failed - %1 - %2","API call failed - %1 - %2"
"API call blocked due to a timeout","API call blocked due to a timeout"
"Curl error %1 - %2","Curl error %1 - %2"
"no authorization token returned","no authorization token returned"
"the returned authorization token is empty","the returned authorization token is empty"
"Lengow APIs are not available","Lengow APIs are not available"
"API call failed - authorization token expired - attempt to recover a new token","API call failed - authorization token expired - attempt to recover a new token"
"%1 - old value %2 replaced with %3","%1 - old value %2 replaced with %3"
"%1 - old value %2 replaced with %3 for store %4","%1 - old value %2 replaced with %3 for store %4"
"Error while inserting record in database - %1","Error while inserting record in database - %1"
